target_fid,rich_2d,x,y,depth
1246,1,105.5,-59.5,4383.75
1247,1,106.5,-59.5,4232.25
1248,1,107.5,-59.5,4519.5
1249,1,108.5,-59.5,4379.75
1250,1,109.5,-59.5,4430.75
1251,1,110.5,-59.5,4381.75
1252,1,111.5,-59.5,4416.75
1253,1,112.5,-59.5,4444
1254,1,113.5,-59.5,4460
1255,1,114.5,-59.5,4469
1256,1,115.5,-59.5,4537.75
1257,1,116.5,-59.5,4544.25
1258,1,117.5,-59.5,4552
1259,1,118.5,-59.5,4534
1260,1,119.5,-59.5,4521
1261,1,120.5,-59.5,4510
1262,1,121.5,-59.5,4510
1263,1,122.5,-59.5,4491
1264,1,123.5,-59.5,4529
1265,1,124.5,-59.5,4566
1266,1,125.5,-59.5,4599.5
1267,1,126.5,-59.5,4620.5
1268,1,127.5,-59.5,4628.75
1269,1,128.5,-59.5,4626.75
1270,1,129.5,-59.5,4633.75
1271,1,130.5,-59.5,4653.25
1272,1,131.5,-59.5,4680
1273,1,132.5,-59.5,4678
1274,1,133.5,-59.5,4578.75
1307,1,37.5,-58.5,5319
1308,1,38.5,-58.5,5265.5
1310,1,40.5,-58.5,5289.25
1311,1,41.5,-58.5,5192.75
1312,1,42.5,-58.5,5330.5
1321,1,51.5,-58.5,5214.25
1323,1,53.5,-58.5,5262.75
1324,1,54.5,-58.5,5289.25
1325,1,55.5,-58.5,5289.5
1326,1,56.5,-58.5,5245.5
1327,1,57.5,-58.5,5277
1328,1,58.5,-58.5,5181.5
1329,1,59.5,-58.5,5030
1330,1,60.5,-58.5,4915.25
1331,1,61.5,-58.5,4958
1332,1,62.5,-58.5,4958.75
1333,1,63.5,-58.5,4723
1334,1,64.5,-58.5,4753.75
1335,1,65.5,-58.5,3099.5
1336,1,66.5,-58.5,4498
1337,1,67.5,-58.5,4422.75
1338,1,68.5,-58.5,4480.25
1339,1,69.5,-58.5,4843.25
1340,1,70.5,-58.5,4267
1341,1,71.5,-58.5,4655.25
1342,1,72.5,-58.5,4306
1343,1,73.5,-58.5,3139.750244
1344,1,74.5,-58.5,1897.499878
1345,1,75.5,-58.5,1857.25
1346,1,76.5,-58.5,1759
1347,1,77.5,-58.5,1537.499878
1348,1,78.5,-58.5,1255.25
1349,1,79.5,-58.5,1303.5
1350,1,80.5,-58.5,1665.5
1351,1,81.5,-58.5,1619
1352,1,82.5,-58.5,2145
1353,1,83.5,-58.5,3113.75
1354,1,84.5,-58.5,4296.5
1355,1,85.5,-58.5,4256.75
