"","target_fid","rich_1d_geog","x.x","y.x","depth.x","rich_2d","x.y","y.y","depth.y"
"324",742,1,117.5,-63.5,3180.5,1,117.5,-63.5,3180.5
"325",743,1,118.5,-63.5,3505,1,118.5,-63.5,3505
"326",744,1,119.5,-63.5,3578.5,1,119.5,-63.5,3578.5
"327",745,1,120.5,-63.5,3658.5,1,120.5,-63.5,3658.5
"328",746,1,121.5,-63.5,3747.5,1,121.5,-63.5,3747.5
"329",747,1,122.5,-63.5,3834,1,122.5,-63.5,3834
"330",748,1,123.5,-63.5,3854.75,1,123.5,-63.5,3854.75
"331",749,1,124.5,-63.5,3804,1,124.5,-63.5,3804
"332",750,1,125.5,-63.5,3771.5,1,125.5,-63.5,3771.5
"333",751,1,126.5,-63.5,3719.5,1,126.5,-63.5,3719.5
"334",752,1,127.5,-63.5,3913,1,127.5,-63.5,3913
"335",753,1,128.5,-63.5,4003.25,1,128.5,-63.5,4003.25
"336",776,1,22.5,-62.5,5010.5,1,22.5,-62.5,5010.5
"337",777,1,23.5,-62.5,5041.5,1,23.5,-62.5,5041.5
"338",778,1,24.5,-62.5,5139,1,24.5,-62.5,5139
"339",779,1,25.5,-62.5,5103,1,25.5,-62.5,5103
"340",780,1,26.5,-62.5,5142.25,1,26.5,-62.5,5142.25
"341",781,1,27.5,-62.5,5164,1,27.5,-62.5,5164
"342",782,1,28.5,-62.5,5182.5,1,28.5,-62.5,5182.5
"343",783,1,29.5,-62.5,5200,1,29.5,-62.5,5200
"344",784,1,30.5,-62.5,5149.25,1,30.5,-62.5,5149.25
"345",785,1,31.5,-62.5,5113.25,1,31.5,-62.5,5113.25
"346",786,1,32.5,-62.5,5131.5,1,32.5,-62.5,5131.5
"347",787,1,33.5,-62.5,5184.25,1,33.5,-62.5,5184.25
"348",788,1,34.5,-62.5,5162.5,1,34.5,-62.5,5162.5
"349",789,1,35.5,-62.5,5174,1,35.5,-62.5,5174
"350",790,1,36.5,-62.5,5136.75,1,36.5,-62.5,5136.75
"351",791,1,37.5,-62.5,5134,1,37.5,-62.5,5134
"352",792,1,38.5,-62.5,5137,1,38.5,-62.5,5137
"353",793,1,39.5,-62.5,5111.25,1,39.5,-62.5,5111.25
"354",794,1,40.5,-62.5,5072,1,40.5,-62.5,5072
"355",795,1,41.5,-62.5,5080,1,41.5,-62.5,5080
"356",796,1,42.5,-62.5,5052,1,42.5,-62.5,5052
"357",797,1,43.5,-62.5,4987.25,1,43.5,-62.5,4987.25
"358",798,1,44.5,-62.5,4902.75,1,44.5,-62.5,4902.75
"359",799,1,45.5,-62.5,4730.5,1,45.5,-62.5,4730.5
"360",800,1,46.5,-62.5,4961.25,1,46.5,-62.5,4961.25
"361",801,1,47.5,-62.5,4814,1,47.5,-62.5,4814
"362",802,1,48.5,-62.5,5029.5,1,48.5,-62.5,5029.5
"363",803,1,49.5,-62.5,5060,1,49.5,-62.5,5060
"364",804,1,50.5,-62.5,5062,1,50.5,-62.5,5062
"365",805,1,51.5,-62.5,5118.5,1,51.5,-62.5,5118.5
"366",806,1,52.5,-62.5,5064.25,1,52.5,-62.5,5064.25
"367",807,1,53.5,-62.5,5078.75,1,53.5,-62.5,5078.75
"368",808,1,54.5,-62.5,5054.75,1,54.5,-62.5,5054.75
"369",809,1,55.5,-62.5,4884.75,1,55.5,-62.5,4884.75
"370",810,1,56.5,-62.5,4835,1,56.5,-62.5,4835
"371",811,1,57.5,-62.5,4744,1,57.5,-62.5,4744
"372",812,1,58.5,-62.5,4696,1,58.5,-62.5,4696
"373",813,1,59.5,-62.5,4612.25,1,59.5,-62.5,4612.25
"374",814,1,60.5,-62.5,4632.25,1,60.5,-62.5,4632.25
"375",815,1,61.5,-62.5,4603.25,1,61.5,-62.5,4603.25
"376",816,1,62.5,-62.5,4523.25,1,62.5,-62.5,4523.25
"377",817,1,63.5,-62.5,4328.5,1,63.5,-62.5,4328.5
"378",818,1,64.5,-62.5,4341,1,64.5,-62.5,4341
"379",819,1,65.5,-62.5,4356,1,65.5,-62.5,4356
"380",820,1,66.5,-62.5,4356.5,1,66.5,-62.5,4356.5
"381",821,1,67.5,-62.5,4342,1,67.5,-62.5,4342
